ModelId,IndexOrder,IndexValue
1,1408,231
1,1409,241
1,1410,231
1,1411,232
1,1412,241
1,1413,232
1,1414,233
1,1415,241
1,1416,233
1,1417,234
1,1418,241
1,1419,234
1,1420,235
1,1421,241
1,1422,235
1,1423,236
1,1424,241
1,1425,236
1,1426,237
1,1427,241
1,1428,237
1,1429,238
1,1430,241
1,1431,238
1,1432,239
1,1433,241
1,1434,239
1,1435,240
1,1436,241
1,1437,240
1,1438,225
1,1439,241
